Generation,State
5943530,Alaska
142955133,Alabama
60230137,Arkansas
108608535,Arizona
196727116,California
56737727,Colorado
44123575,Connecticut
218241,District of Columbia
4039976,Delaware
244401038,Florida
126530745,Georgia
9188089,Hawaii
66120266,Iowa
16948581,Idaho
181859377,Illinois
94565161,Indiana
56745956,Kansas
70554259,Kentucky
98061967,Louisiana
19366993,Massachusetts
39719296,Maryland
10952775,Maine
116045383,Michigan
59628025,Minnesota
77815983,Missouri
68713324,Mississippi
24466637,Montana
131262686,North Carolina
42705232,North Dakota
38644643,Nebraska
17434999,New Hampshire
61386527,New Jersey
35271296,New Mexico
41880191,Nevada
125226026,New York
123335613,Ohio
80564122,Oklahoma
61081837,Oregon
241648365,Pennsylvania
8035017,Rhode Island
99924409,South Carolina
17834631,South Dakota
81478887,Tennessee
483561769,Texas
42656775,Utah
94309019,Virginia
2147738,Vermont
109122726,Washington
65478679,Wisconsin
65630564,West Virginia
43650676,Wyoming
