PRODUCER,MONTH,GENERATION,State
"Combined Heat and Power, Commercial Power",78,350962.0,Alaska
"Combined Heat and Power, Electric Power",78,199567.0,Alaska
"Combined Heat and Power, Industrial Power",78,111166.0,Alaska
"Electric Generators, Electric Utilities",78,5229885.0,Alaska
"Electric Generators, Independent Power Producers",78,51947.0,Alaska
"Combined Heat and Power, Electric Power",78,4031284.0,Alabama
"Combined Heat and Power, Industrial Power",78,4640626.0,Alabama
"Electric Generators, Electric Utilities",78,107332202.0,Alabama
"Electric Generators, Independent Power Producers",78,26951021.0,Alabama
"Combined Heat and Power, Commercial Power",78,62136.0,Arkansas
"Combined Heat and Power, Electric Power",78,1023489.0,Arkansas
"Combined Heat and Power, Industrial Power",78,1196173.0,Arkansas
"Electric Generators, Electric Utilities",78,53337372.0,Arkansas
"Electric Generators, Independent Power Producers",78,4610967.0,Arkansas
"Combined Heat and Power, Commercial Power",78,154108.0,Arizona
"Combined Heat and Power, Electric Power",78,52607.0,Arizona
"Electric Generators, Electric Utilities",78,86348455.0,Arizona
"Electric Generators, Independent Power Producers",78,22053365.0,Arizona
"Combined Heat and Power, Commercial Power",78,2400830.0,California
"Combined Heat and Power, Electric Power",78,12417290.0,California
"Combined Heat and Power, Industrial Power",78,13513448.0,California
"Electric Generators, Electric Utilities",78,61737283.0,California
"Electric Generators, Independent Power Producers",78,106658255.0,California
"Combined Heat and Power, Commercial Power",78,36299.0,Colorado
"Combined Heat and Power, Electric Power",78,36629.0,Colorado
"Combined Heat and Power, Industrial Power",78,256188.0,Colorado
"Electric Generators, Electric Utilities",78,41364397.0,Colorado
"Electric Generators, Independent Power Producers",78,15044204.0,Colorado
"Combined Heat and Power, Commercial Power",78,316117.0,Connecticut
"Combined Heat and Power, Electric Power",78,123788.0,Connecticut
"Combined Heat and Power, Industrial Power",78,612115.0,Connecticut
"Electric Generators, Electric Utilities",78,94322.0,Connecticut
"Electric Generators, Independent Power Producers",78,42977227.0,Connecticut
